Metoda;Krok_Typ;h0;Iteracja;x0_1;x0_2;x_opt_1;x_opt_2;y_opt;f_calls;g_calls;H_calls;Status
SD;Staly 0.05;0.05;79;-0.124854;0.993769;-4.18375e-06;1.01005e-05;9.47693e-11;139;138;0;1
SD;Staly 0.05;0.05;80;-1.9827;1.56257;-1.74755;0.873786;0.298638;113;112;0;1
SD;Staly 0.05;0.05;81;-1.29928;1.87909;-1.74755;0.873785;0.298638;116;115;0;1
SD;Staly 0.05;0.05;82;1.68465;0.0963293;1.74755;-0.873767;0.298638;117;116;0;1
SD;Staly 0.05;0.05;83;1.35809;-0.31298;1.74755;-0.873767;0.298638;113;112;0;1
SD;Staly 0.05;0.05;84;0.0804486;-1.4752;4.37172e-06;-1.05543e-05;1.03476e-10;143;142;0;1
SD;Staly 0.05;0.05;85;-1.02235;0.506064;-4.09571e-06;9.88791e-06;9.08225e-11;149;148;0;1
SD;Staly 0.05;0.05;86;-0.559083;-1.11804;4.3628e-06;-1.05327e-05;1.03054e-10;136;135;0;1
SD;Staly 0.05;0.05;87;0.578417;1.83066;-4.12962e-06;9.96979e-06;9.23329e-11;144;143;0;1
SD;Staly 0.05;0.05;88;1.49795;-0.95746;1.74755;-0.873785;0.298638;86;85;0;1
SD;Staly 0.05;0.05;89;0.525393;-0.618144;4.20395e-06;-1.01492e-05;9.56864e-11;137;136;0;1
SD;Staly 0.05;0.05;90;0.952004;-0.494497;4.14336e-06;-1.00029e-05;9.2948e-11;144;143;0;1
SD;Staly 0.05;0.05;91;-1.77904;-1.70689;-1.74755;0.873767;0.298638;127;126;0;1
SD;Staly 0.05;0.05;92;1.89059;-0.157036;1.74755;-0.873767;0.298638;114;113;0;1
SD;Staly 0.05;0.05;93;0.202847;-0.0345356;4.43828e-06;-1.0715e-05;1.06651e-10;112;111;0;1
SD;Staly 0.05;0.05;94;-0.721601;-1.23803;4.43116e-06;-1.06978e-05;1.06309e-10;136;135;0;1
SD;Staly 0.05;0.05;95;1.55356;-0.236317;1.74755;-0.873767;0.298638;113;112;0;1
SD;Staly 0.05;0.05;96;0.781751;-0.633152;4.10679e-06;-9.91467e-06;9.13147e-11;141;140;0;1
SD;Staly 0.05;0.05;97;-0.553144;-0.838655;4.09869e-06;-9.8951e-06;9.09546e-11;132;131;0;1
SD;Staly 0.05;0.05;98;-0.120588;-0.574548;4.36991e-06;-1.05499e-05;1.0339e-10;130;129;0;1
SD;Staly 0.05;0.05;99;1.67381;-1.8997;1.74755;-0.873785;0.298638;117;116;0;1
SD;Staly 0.05;0.05;100;0.220816;-1.02115;4.12854e-06;-9.96719e-06;9.22846e-11;140;139;0;1
SD;Staly 0.25;0.25;1;-0.319611;1.92647;-3.71426e-07;8.96702e-07;7.46931e-13;30;29;0;1
SD;Staly 0.25;0.25;2;-0.504542;-1.11713;3.52078e-07;-8.49991e-07;6.71139e-13;28;27;0;1
SD;Staly 0.25;0.25;3;-1.94182;-1.41463;-5.10675e-07;1.23288e-06;1.41197e-12;20;19;0;1
