Czas;VA;VB;TB
433;1.94039;2.35413;48.597
434;1.93497;2.35421;48.5824
435;1.92955;2.35428;48.5678
436;1.92415;2.35434;48.5531
437;1.91875;2.3544;48.5384
438;1.91336;2.35444;48.5236
439;1.90798;2.35448;48.5087
440;1.9026;2.35451;48.4939
441;1.89723;2.35454;48.4789
442;1.89187;2.35455;48.4639
443;1.88652;2.35456;48.4489
444;1.88118;2.35456;48.4338
445;1.87584;2.35455;48.4186
446;1.87051;2.35454;48.4034
447;1.86519;2.35452;48.3881
448;1.85987;2.35449;48.3728
449;1.85456;2.35445;48.3575
450;1.84927;2.3544;48.3421
451;1.84397;2.35435;48.3266
452;1.83869;2.35429;48.3111
453;1.83341;2.35422;48.2955
454;1.82814;2.35415;48.2799
455;1.82288;2.35407;48.2643
456;1.81763;2.35398;48.2486
457;1.81238;2.35388;48.2328
458;1.80714;2.35378;48.217
459;1.80191;2.35367;48.2011
460;1.79669;2.35355;48.1852
461;1.79147;2.35343;48.1693
462;1.78626;2.35329;48.1533
463;1.78106;2.35316;48.1372
464;1.77587;2.35301;48.1211
465;1.77068;2.35286;48.105
466;1.76551;2.35269;48.0888
467;1.76034;2.35253;48.0725
468;1.75517;2.35235;48.0563
469;1.75002;2.35217;48.0399
470;1.74487;2.35198;48.0235
471;1.73973;2.35179;48.0071
472;1.7346;2.35158;47.9906
473;1.72947;2.35137;47.9741
474;1.72435;2.35116;47.9575
475;1.71924;2.35093;47.9409
476;1.71414;2.3507;47.9242
477;1.70905;2.35047;47.9075
478;1.70396;2.35022;47.8908
479;1.69888;2.34997;47.874
480;1.69381;2.34972;47.8571
481;1.68874;2.34945;47.8402
482;1.68369;2.34918;47.8233
483;1.67864;2.3489;47.8063
484;1.6736;2.34862;47.7893
485;1.66856;2.34833;47.7722
486;1.66354;2.34803;47.7551
487;1.65852;2.34773;47.7379
488;1.65351;2.34742;47.7207
489;1.6485;2.3471;47.7034
490;1.64351;2.34678;47.6861
491;1.63852;2.34645;47.6688
492;1.63354;2.34611;47.6514
493;1.62856;2.34577;47.634
494;1.6236;2.34542;47.6165
495;1.61864;2.34506;47.599
496;1.61369;2.3447;47.5814
497;1.60875;2.34433;47.5638
498;1.60381;2.34395;47.5461
499;1.59888;2.34357;47.5284
500;1.59396;2.34319;47.5107
501;1.58905;2.34279;47.4929
502;1.58414;2.34239;47.4751
503;1.57925;2.34198;47.4572
504;1.57436;2.34157;47.4393
505;1.56947;2.34115;47.4213
506;1.5646;2.34073;47.4033
507;1.55973;2.3403;47.3853
508;1.55487;2.33986;47.3672
509;1.55002;2.33941;47.349
510;1.54518;2.33896;47.3309
511;1.54034;2.33851;47.3127
512;1.53551;2.33805;47.2944
513;1.53069;2.33758;47.2761
514;1.52587;2.3371;47.2578
515;1.52107;2.33662;47.2394
516;1.51627;2.33614;47.2209
517;1.51148;2.33564;47.2025
518;1.50669;2.33515;47.184
519;1.50192;2.33464;47.1654
520;1.49715;2.33413;47.1468
521;1.49239;2.33362;47.1282
522;1.48763;2.33309;47.1095
523;1.48289;2.33257;47.0908
524;1.47815;2.33203;47.072
525;1.47342;2.33149;47.0532
526;1.4687;2.33095;47.0344
527;1.46398;2.3304;47.0155
528;1.45927;2.32984;46.9965
529;1.45457;2.32928;46.9776
530;1.44988;2.32871;46.9586
531;1.44519;2.32814;46.9395
532;1.44052;2.32756;46.9204
533;1.43585;2.32697;46.9013
534;1.43118;2.32638;46.8821
535;1.42653;2.32578;46.8629
536;1.42188;2.32518;46.8436
537;1.41724;2.32457;46.8243
538;1.41261;2.32396;46.805
539;1.40799;2.32334;46.7856
540;1.40337;2.32272;46.7662
541;1.39876;2.32209;46.7467
542;1.39416;2.32145;46.7272
543;1.38956;2.32081;46.7077
544;1.38498;2.32016;46.6881
545;1.3804;2.31951;46.6685
546;1.37583;2.31886;46.6488
547;1.37126;2.31819;46.6291
548;1.36671;2.31752;46.6094
549;1.36216;2.31685;46.5896
550;1.35762;2.31617;46.5698
551;1.35308;2.31549;46.5499
552;1.34856;2.3148;46.53
553;1.34404;2.3141;46.5101
554;1.33953;2.3134;46.4901
555;1.33502;2.3127;46.4701
556;1.33053;2.31199;46.4501
557;1.32604;2.31127;46.43
558;1.32156;2.31055;46.4098
559;1.31709;2.30982;46.3896
560;1.31262;2.30909;46.3694
561;1.30816;2.30836;46.3492
562;1.30371;2.30761;46.3289
563;1.29927;2.30687;46.3085
564;1.29484;2.30611;46.2882
565;1.29041;2.30536;46.2678
566;1.28599;2.30459;46.2473
567;1.28158;2.30383;46.2268
568;1.27717;2.30305;46.2063
569;1.27277;2.30228;46.1857
570;1.26838;2.3015;46.1651
571;1.264;2.30071;46.1445
572;1.25963;2.29992;46.1238
573;1.25526;2.29912;46.103
574;1.2509;2.29832;46.0823
575;1.24655;2.29751;46.0615
576;1.24221;2.2967;46.0406
577;1.23787;2.29588;46.0198
578;1.23354;2.29506;45.9988
579;1.22922;2.29423;45.9779
580;1.22491;2.2934;45.9569
581;1.2206;2.29256;45.9359
582;1.2163;2.29172;45.9148
583;1.21201;2.29087;45.8937
584;1.20773;2.29002;45.8725
585;1.20345;2.28917;45.8513
586;1.19918;2.28831;45.8301
587;1.19492;2.28744;45.8088
588;1.19067;2.28657;45.7875
589;1.18642;2.2857;45.7662
590;1.18219;2.28482;45.7448
591;1.17796;2.28394;45.7234
592;1.17373;2.28305;45.7019
593;1.16952;2.28215;45.6804
594;1.16531;2.28126;45.6589
595;1.16111;2.28035;45.6373
596;1.15692;2.27945;45.6157
597;1.15273;2.27854;45.5941
598;1.14856;2.27762;45.5724
599;1.14439;2.2767;45.5506
600;1.14022;2.27577;45.5289
601;1.13607;2.27484;45.5071
602;1.13192;2.27391;45.4852
603;1.12778;2.27297;45.4634
604;1.12365;2.27203;45.4414
605;1.11953;2.27108;45.4195
606;1.11541;2.27013;45.3975
607;1.1113;2.26917;45.3755
608;1.1072;2.26821;45.3534
609;1.10311;2.26725;45.3313
610;1.09902;2.26628;45.3091
611;1.09494;2.2653;45.2869
612;1.09087;2.26432;45.2647
613;1.08681;2.26334;45.2425
614;1.08275;2.26236;45.2202
615;1.0787;2.26136;45.1978
616;1.07466;2.26037;45.1755
617;1.07063;2.25937;45.153
618;1.0666;2.25837;45.1306
619;1.06259;2.25736;45.1081
620;1.05858;2.25634;45.0856
621;1.05457;2.25533;45.063
622;1.05058;2.25431;45.0404
623;1.04659;2.25328;45.0178
624;1.04261;2.25225;44.9951
625;1.03864;2.25122;44.9724
626;1.03467;2.25018;44.9496
627;1.03072;2.24914;44.9268
628;1.02677;2.2481;44.904
629;1.02282;2.24705;44.8811
630;1.01889;2.24599;44.8582
631;1.01496;2.24493;44.8353
632;1.01104;2.24387;44.8123
633;1.00713;2.24281;44.7893
634;1.00323;2.24174;44.7662
635;0.99933;2.24066;44.7432
636;0.995441;2.23958;44.72
637;0.991559;2.2385;44.6969
638;0.987686;2.23742;44.6736
639;0.983819;2.23633;44.6504
640;0.97996;2.23523;44.6271
641;0.976109;2.23414;44.6038
642;0.972266;2.23303;44.5804
643;0.96843;2.23193;44.557
644;0.964601;2.23082;44.5336
645;0.96078;2.22971;44.5101
646;0.956967;2.22859;44.4866
647;0.953161;2.22747;44.4631
648;0.949363;2.22634;44.4395
649;0.945573;2.22521;44.4159
650;0.94179;2.22408;44.3922
651;0.938015;2.22295;44.3685
652;0.934247;2.22181;44.3448
653;0.930487;2.22066;44.321
654;0.926734;2.21952;44.2972
655;0.922989;2.21836;44.2733
656;0.919252;2.21721;44.2494
657;0.915522;2.21605;44.2255
658;0.911799;2.21489;44.2015
659;0.908085;2.21372;44.1775
660;0.904378;2.21255;44.1535
661;0.900678;2.21138;44.1294
662;0.896986;2.2102;44.1053
663;0.893302;2.20902;44.0811
664;0.889625;2.20784;44.057
665;0.885956;2.20665;44.0327
666;0.882294;2.20546;44.0085
667;0.87864;2.20427;43.9841
668;0.874994;2.20307;43.9598
669;0.871355;2.20187;43.9354
670;0.867724;2.20066;43.911
671;0.8641;2.19945;43.8865
672;0.860484;2.19824;43.862
673;0.856875;2.19702;43.8375
674;0.853274;2.1958;43.8129
675;0.849681;2.19458;43.7883
676;0.846095;2.19335;43.7637
677;0.842517;2.19213;43.739
678;0.838946;2.19089;43.7143
679;0.835383;2.18966;43.6895
680;0.831828;2.18842;43.6647
681;0.82828;2.18717;43.6398
682;0.824739;2.18593;43.615
683;0.821207;2.18468;43.5901
684;0.817682;2.18342;43.5651
685;0.814164;2.18217;43.5401
686;0.810654;2.18091;43.5151
687;0.807152;2.17964;43.49
688;0.803657;2.17838;43.4649
689;0.80017;2.17711;43.4397
690;0.79669;2.17583;43.4146
691;0.793218;2.17456;43.3893
692;0.789754;2.17328;43.3641
693;0.786297;2.17199;43.3388
694;0.782847;2.17071;43.3134
695;0.779406;2.16942;43.288
696;0.775971;2.16813;43.2626
697;0.772545;2.16683;43.2372
698;0.769126;2.16553;43.2117
699;0.765714;2.16423;43.1861
700;0.762311;2.16292;43.1606
701;0.758914;2.16161;43.135
702;0.755526;2.1603;43.1093
703;0.752145;2.15899;43.0836
704;0.748771;2.15767;43.0579
705;0.745405;2.15635;43.0321
706;0.742047;2.15503;43.0063
707;0.738696;2.1537;42.9805
708;0.735353;2.15237;42.9546
709;0.732018;2.15104;42.9287
710;0.72869;2.1497;42.9027
711;0.725369;2.14836;42.8767
712;0.722056;2.14702;42.8507
713;0.718751;2.14567;42.8246
714;0.715453;2.14433;42.7985
715;0.712163;2.14297;42.7724
716;0.708881;2.14162;42.7462
717;0.705606;2.14026;42.7199
718;0.702339;2.1389;42.6937
719;0.699079;2.13754;42.6674
720;0.695827;2.13617;42.641
721;0.692582;2.13481;42.6146
722;0.689345;2.13343;42.5882
723;0.686116;2.13206;42.5617
724;0.682894;2.13068;42.5352
725;0.679679;2.1293;42.5087
726;0.676473;2.12792;42.4821
