Czas;VA;VB;TB
212x;-266.231x;240.489x;19972.3x
213x;-266.231x;240.344x;19971.4x
214x;-266.231x;240.199x;19970.6x
215x;-266.231x;240.054x;19969.8x
216x;-266.231x;239.909x;19968.9x
217x;-266.231x;239.764x;19968.1x
218x;-266.231x;239.619x;19967.3x
219x;-266.231x;239.474x;19966.4x
220x;-266.231x;239.33x;19965.6x
221x;-266.231x;239.185x;19964.8x
222x;-266.231x;239.04x;19963.9x
223x;-266.231x;238.896x;19963.1x
224x;-266.231x;238.751x;19962.3x
225x;-266.231x;238.607x;19961.4x
226x;-266.231x;238.462x;19960.6x
227x;-266.231x;238.318x;19959.8x
228x;-266.231x;238.174x;19958.9x
229x;-266.231x;238.029x;19958.1x
230x;-266.231x;237.885x;19957.3x
231x;-266.231x;237.741x;19956.4x
232x;-266.231x;237.597x;19955.6x
233x;-266.231x;237.452x;19954.7x
234x;-266.231x;237.308x;19953.9x
235x;-266.231x;237.164x;19953.1x
236x;-266.231x;237.02x;19952.2x
237x;-266.231x;236.876x;19951.4x
238x;-266.231x;236.733x;19950.5x
239x;-266.231x;236.589x;19949.7x
240x;-266.231x;236.445x;19948.9x
241x;-266.231x;236.301x;19948x
242x;-266.231x;236.158x;19947.2x
243x;-266.231x;236.014x;19946.3x
244x;-266.231x;235.87x;19945.5x
245x;-266.231x;235.727x;19944.6x
246x;-266.231x;235.583x;19943.8x
247x;-266.231x;235.44x;19942.9x
248x;-266.231x;235.296x;19942.1x
249x;-266.231x;235.153x;19941.2x
250x;-266.231x;235.01x;19940.4x
251x;-266.231x;234.866x;19939.6x
252x;-266.231x;234.723x;19938.7x
253x;-266.231x;234.58x;19937.9x
254x;-266.231x;234.437x;19937x
255x;-266.231x;234.294x;19936.2x
256x;-266.231x;234.151x;19935.3x
257x;-266.231x;234.008x;19934.5x
258x;-266.231x;233.865x;19933.6x
259x;-266.231x;233.722x;19932.8x
260x;-266.231x;233.579x;19931.9x
261x;-266.231x;233.436x;19931x
262x;-266.231x;233.293x;19930.2x
263x;-266.231x;233.151x;19929.3x
264x;-266.231x;233.008x;19928.5x
265x;-266.231x;232.865x;19927.6x
266x;-266.231x;232.723x;19926.8x
267x;-266.231x;232.58x;19925.9x
268x;-266.231x;232.438x;19925.1x
269x;-266.231x;232.295x;19924.2x
270x;-266.231x;232.153x;19923.4x
271x;-266.231x;232.011x;19922.5x
272x;-266.231x;231.868x;19921.6x
273x;-266.231x;231.726x;19920.8x
274x;-266.231x;231.584x;19919.9x
275x;-266.231x;231.442x;19919.1x
276x;-266.231x;231.3x;19918.2x
277x;-266.231x;231.158x;19917.3x
278x;-266.231x;231.016x;19916.5x
279x;-266.231x;230.874x;19915.6x
280x;-266.231x;230.732x;19914.8x
281x;-266.231x;230.59x;19913.9x
282x;-266.231x;230.448x;19913x
283x;-266.231x;230.306x;19912.2x
284x;-266.231x;230.164x;19911.3x
285x;-266.231x;230.023x;19910.4x
286x;-266.231x;229.881x;19909.6x
287x;-266.231x;229.74x;19908.7x
288x;-266.231x;229.598x;19907.8x
289x;-266.231x;229.456x;19907x
290x;-266.231x;229.315x;19906.1x
291x;-266.231x;229.174x;19905.2x
292x;-266.231x;229.032x;19904.4x
293x;-266.231x;228.891x;19903.5x
294x;-266.231x;228.75x;19902.6x
295x;-266.231x;228.608x;19901.8x
296x;-266.231x;228.467x;19900.9x
297x;-266.231x;228.326x;19900x
298x;-266.231x;228.185x;19899.2x
299x;-266.231x;228.044x;19898.3x
300x;-266.231x;227.903x;19897.4x
301x;-266.231x;227.762x;19896.5x
302x;-266.231x;227.621x;19895.7x
303x;-266.231x;227.48x;19894.8x
304x;-266.231x;227.34x;19893.9x
305x;-266.231x;227.199x;19893x
306x;-266.231x;227.058x;19892.2x
307x;-266.231x;226.917x;19891.3x
308x;-266.231x;226.777x;19890.4x
309x;-266.231x;226.636x;19889.5x
310x;-266.231x;226.496x;19888.7x
311x;-266.231x;226.355x;19887.8x
312x;-266.231x;226.215x;19886.9x
313x;-266.231x;226.074x;19886x
314x;-266.231x;225.934x;19885.1x
315x;-266.231x;225.794x;19884.3x
316x;-266.231x;225.654x;19883.4x
317x;-266.231x;225.513x;19882.5x
318x;-266.231x;225.373x;19881.6x
319x;-266.231x;225.233x;19880.7x
320x;-266.231x;225.093x;19879.9x
321x;-266.231x;224.953x;19879x
322x;-266.231x;224.813x;19878.1x
323x;-266.231x;224.673x;19877.2x
324x;-266.231x;224.533x;19876.3x
325x;-266.231x;224.394x;19875.4x
326x;-266.231x;224.254x;19874.6x
327x;-266.231x;224.114x;19873.7x
328x;-266.231x;223.974x;19872.8x
329x;-266.231x;223.835x;19871.9x
330x;-266.231x;223.695x;19871x
331x;-266.231x;223.556x;19870.1x
332x;-266.231x;223.416x;19869.2x
333x;-266.231x;223.277x;19868.4x
334x;-266.231x;223.137x;19867.5x
335x;-266.231x;222.998x;19866.6x
336x;-266.231x;222.859x;19865.7x
337x;-266.231x;222.719x;19864.8x
338x;-266.231x;222.58x;19863.9x
339x;-266.231x;222.441x;19863x
340x;-266.231x;222.302x;19862.1x
341x;-266.231x;222.163x;19861.2x
342x;-266.231x;222.024x;19860.3x
343x;-266.231x;221.885x;19859.4x
344x;-266.231x;221.746x;19858.5x
345x;-266.231x;221.607x;19857.6x
346x;-266.231x;221.468x;19856.8x
347x;-266.231x;221.329x;19855.9x
348x;-266.231x;221.191x;19855x
349x;-266.231x;221.052x;19854.1x
350x;-266.231x;220.913x;19853.2x
351x;-266.231x;220.775x;19852.3x
352x;-266.231x;220.636x;19851.4x
353x;-266.231x;220.497x;19850.5x
354x;-266.231x;220.359x;19849.6x
355x;-266.231x;220.221x;19848.7x
356x;-266.231x;220.082x;19847.8x
357x;-266.231x;219.944x;19846.9x
358x;-266.231x;219.806x;19846x
359x;-266.231x;219.667x;19845.1x
360x;-266.231x;219.529x;19844.2x
361x;-266.231x;219.391x;19843.3x
362x;-266.231x;219.253x;19842.4x
363x;-266.231x;219.115x;19841.4x
364x;-266.231x;218.977x;19840.5x
365x;-266.231x;218.839x;19839.6x
366x;-266.231x;218.701x;19838.7x
367x;-266.231x;218.563x;19837.8x
368x;-266.231x;218.425x;19836.9x
369x;-266.231x;218.288x;19836x
370x;-266.231x;218.15x;19835.1x
371x;-266.231x;218.012x;19834.2x
372x;-266.231x;217.875x;19833.3x
373x;-266.231x;217.737x;19832.4x
374x;-266.231x;217.599x;19831.5x
375x;-266.231x;217.462x;19830.6x
376x;-266.231x;217.325x;19829.6x
377x;-266.231x;217.187x;19828.7x
378x;-266.231x;217.05x;19827.8x
379x;-266.231x;216.912x;19826.9x
380x;-266.231x;216.775x;19826x
381x;-266.231x;216.638x;19825.1x
382x;-266.231x;216.501x;19824.2x
383x;-266.231x;216.364x;19823.3x
384x;-266.231x;216.227x;19822.3x
385x;-266.231x;216.09x;19821.4x
386x;-266.231x;215.953x;19820.5x
387x;-266.231x;215.816x;19819.6x
388x;-266.231x;215.679x;19818.7x
389x;-266.231x;215.542x;19817.7x
390x;-266.231x;215.405x;19816.8x
391x;-266.231x;215.268x;19815.9x
392x;-266.231x;215.132x;19815x
393x;-266.231x;214.995x;19814.1x
394x;-266.231x;214.859x;19813.2x
395x;-266.231x;214.722x;19812.2x
396x;-266.231x;214.585x;19811.3x
397x;-266.231x;214.449x;19810.4x
398x;-266.231x;214.313x;19809.5x
399x;-266.231x;214.176x;19808.5x
400x;-266.231x;214.04x;19807.6x
401x;-266.231x;213.904x;19806.7x
402x;-266.231x;213.767x;19805.8x
