Czas;VA;VB;TB
1387x;-266.231x;101.994x;18526.4x
1388x;-266.231x;101.903x;18524.6x
1389x;-266.231x;101.812x;18522.8x
1390x;-266.231x;101.721x;18521x
1391x;-266.231x;101.63x;18519.1x
1392x;-266.231x;101.539x;18517.3x
1393x;-266.231x;101.449x;18515.5x
1394x;-266.231x;101.358x;18513.7x
1395x;-266.231x;101.267x;18511.9x
1396x;-266.231x;101.177x;18510x
1397x;-266.231x;101.086x;18508.2x
1398x;-266.231x;100.996x;18506.4x
1399x;-266.231x;100.905x;18504.5x
1400x;-266.231x;100.815x;18502.7x
1401x;-266.231x;100.724x;18500.9x
1402x;-266.231x;100.634x;18499x
1403x;-266.231x;100.544x;18497.2x
1404x;-266.231x;100.454x;18495.4x
1405x;-266.231x;100.363x;18493.5x
1406x;-266.231x;100.273x;18491.7x
1407x;-266.231x;100.183x;18489.8x
1408x;-266.231x;100.093x;18488x
1409x;-266.231x;100.003x;18486.1x
1410x;-266.231x;99.913x;18484.3x
1411x;-266.231x;99.823x;18482.5x
1412x;-266.231x;99.7331x;18480.6x
1413x;-266.231x;99.6433x;18478.7x
1414x;-266.231x;99.5535x;18476.9x
1415x;-266.231x;99.4637x;18475x
1416x;-266.231x;99.374x;18473.2x
1417x;-266.231x;99.2844x;18471.3x
1418x;-266.231x;99.1948x;18469.5x
1419x;-266.231x;99.1052x;18467.6x
1420x;-266.231x;99.0156x;18465.7x
1421x;-266.231x;98.9262x;18463.9x
1422x;-266.231x;98.8367x;18462x
1423x;-266.231x;98.7473x;18460.2x
1424x;-266.231x;98.658x;18458.3x
1425x;-266.231x;98.5687x;18456.4x
1426x;-266.231x;98.4794x;18454.5x
1427x;-266.231x;98.3902x;18452.7x
1428x;-266.231x;98.301x;18450.8x
1429x;-266.231x;98.2119x;18448.9x
1430x;-266.231x;98.1228x;18447x
1431x;-266.231x;98.0338x;18445.2x
1432x;-266.231x;97.9448x;18443.3x
1433x;-266.231x;97.8559x;18441.4x
1434x;-266.231x;97.767x;18439.5x
1435x;-266.231x;97.6781x;18437.6x
1436x;-266.231x;97.5893x;18435.7x
1437x;-266.231x;97.5005x;18433.9x
1438x;-266.231x;97.4118x;18432x
1439x;-266.231x;97.3231x;18430.1x
1440x;-266.231x;97.2345x;18428.2x
1441x;-266.231x;97.1459x;18426.3x
1442x;-266.231x;97.0574x;18424.4x
1443x;-266.231x;96.9689x;18422.5x
1444x;-266.231x;96.8804x;18420.6x
1445x;-266.231x;96.792x;18418.7x
1446x;-266.231x;96.7037x;18416.8x
1447x;-266.231x;96.6154x;18414.9x
1448x;-266.231x;96.5271x;18413x
1449x;-266.231x;96.4389x;18411.1x
1450x;-266.231x;96.3507x;18409.2x
1451x;-266.231x;96.2625x;18407.3x
1452x;-266.231x;96.1745x;18405.4x
1453x;-266.231x;96.0864x;18403.4x
1454x;-266.231x;95.9984x;18401.5x
1455x;-266.231x;95.9105x;18399.6x
1456x;-266.231x;95.8225x;18397.7x
1457x;-266.231x;95.7347x;18395.8x
1458x;-266.231x;95.6469x;18393.9x
1459x;-266.231x;95.5591x;18391.9x
1460x;-266.231x;95.4713x;18390x
1461x;-266.231x;95.3837x;18388.1x
1462x;-266.231x;95.296x;18386.2x
1463x;-266.231x;95.2084x;18384.2x
1464x;-266.231x;95.1209x;18382.3x
1465x;-266.231x;95.0334x;18380.4x
1466x;-266.231x;94.9459x;18378.4x
1467x;-266.231x;94.8585x;18376.5x
1468x;-266.231x;94.7711x;18374.6x
1469x;-266.231x;94.6838x;18372.6x
1470x;-266.231x;94.5965x;18370.7x
1471x;-266.231x;94.5093x;18368.8x
1472x;-266.231x;94.4221x;18366.8x
1473x;-266.231x;94.3349x;18364.9x
1474x;-266.231x;94.2478x;18362.9x
1475x;-266.231x;94.1608x;18361x
1476x;-266.231x;94.0737x;18359x
1477x;-266.231x;93.9868x;18357.1x
1478x;-266.231x;93.8998x;18355.1x
1479x;-266.231x;93.813x;18353.2x
1480x;-266.231x;93.7261x;18351.2x
1481x;-266.231x;93.6393x;18349.3x
1482x;-266.231x;93.5526x;18347.3x
1483x;-266.231x;93.4659x;18345.3x
1484x;-266.231x;93.3792x;18343.4x
1485x;-266.231x;93.2926x;18341.4x
1486x;-266.231x;93.2061x;18339.5x
1487x;-266.231x;93.1195x;18337.5x
1488x;-266.231x;93.0331x;18335.5x
1489x;-266.231x;92.9466x;18333.5x
1490x;-266.231x;92.8603x;18331.6x
1491x;-266.231x;92.7739x;18329.6x
1492x;-266.231x;92.6876x;18327.6x
1493x;-266.231x;92.6014x;18325.7x
1494x;-266.231x;92.5152x;18323.7x
1495x;-266.231x;92.429x;18321.7x
1496x;-266.231x;92.3429x;18319.7x
1497x;-266.231x;92.2568x;18317.7x
1498x;-266.231x;92.1708x;18315.7x
1499x;-266.231x;92.0848x;18313.8x
1500x;-266.231x;91.9989x;18311.8x
1501x;-266.231x;91.913x;18309.8x
1502x;-266.231x;91.8271x;18307.8x
1503x;-266.231x;91.7413x;18305.8x
1504x;-266.231x;91.6555x;18303.8x
1505x;-266.231x;91.5698x;18301.8x
1506x;-266.231x;91.4842x;18299.8x
1507x;-266.231x;91.3985x;18297.8x
1508x;-266.231x;91.313x;18295.8x
1509x;-266.231x;91.2274x;18293.8x
1510x;-266.231x;91.1419x;18291.8x
1511x;-266.231x;91.0565x;18289.8x
1512x;-266.231x;90.9711x;18287.8x
1513x;-266.231x;90.8857x;18285.8x
1514x;-266.231x;90.8004x;18283.8x
1515x;-266.231x;90.7151x;18281.8x
1516x;-266.231x;90.6299x;18279.8x
1517x;-266.231x;90.5448x;18277.7x
1518x;-266.231x;90.4596x;18275.7x
1519x;-266.231x;90.3745x;18273.7x
1520x;-266.231x;90.2895x;18271.7x
1521x;-266.231x;90.2045x;18269.7x
1522x;-266.231x;90.1195x;18267.6x
1523x;-266.231x;90.0346x;18265.6x
1524x;-266.231x;89.9498x;18263.6x
1525x;-266.231x;89.8649x;18261.6x
1526x;-266.231x;89.7802x;18259.5x
1527x;-266.231x;89.6954x;18257.5x
1528x;-266.231x;89.6108x;18255.5x
1529x;-266.231x;89.5261x;18253.4x
1530x;-266.231x;89.4415x;18251.4x
1531x;-266.231x;89.357x;18249.3x
1532x;-266.231x;89.2725x;18247.3x
1533x;-266.231x;89.188x;18245.3x
1534x;-266.231x;89.1036x;18243.2x
1535x;-266.231x;89.0192x;18241.2x
1536x;-266.231x;88.9349x;18239.1x
1537x;-266.231x;88.8506x;18237.1x
1538x;-266.231x;88.7664x;18235x
1539x;-266.231x;88.6822x;18233x
1540x;-266.231x;88.598x;18230.9x
1541x;-266.231x;88.5139x;18228.9x
1542x;-266.231x;88.4299x;18226.8x
1543x;-266.231x;88.3458x;18224.7x
1544x;-266.231x;88.2619x;18222.7x
1545x;-266.231x;88.1779x;18220.6x
1546x;-266.231x;88.0941x;18218.5x
1547x;-266.231x;88.0102x;18216.5x
1548x;-266.231x;87.9264x;18214.4x
1549x;-266.231x;87.8427x;18212.3x
1550x;-266.231x;87.759x;18210.3x
1551x;-266.231x;87.6753x;18208.2x
1552x;-266.231x;87.5917x;18206.1x
1553x;-266.231x;87.5081x;18204x
1554x;-266.231x;87.4246x;18202x
1555x;-266.231x;87.3411x;18199.9x
1556x;-266.231x;87.2577x;18197.8x
1557x;-266.231x;87.1743x;18195.7x
1558x;-266.231x;87.091x;18193.6x
1559x;-266.231x;87.0077x;18191.5x
1560x;-266.231x;86.9244x;18189.5x
1561x;-266.231x;86.8412x;18187.4x
1562x;-266.231x;86.758x;18185.3x
1563x;-266.231x;86.6749x;18183.2x
1564x;-266.231x;86.5918x;18181.1x
1565x;-266.231x;86.5088x;18179x
1566x;-266.231x;86.4258x;18176.9x
1567x;-266.231x;86.3429x;18174.8x
1568x;-266.231x;86.26x;18172.7x
1569x;-266.231x;86.1771x;18170.6x
1570x;-266.231x;86.0943x;18168.5x
1571x;-266.231x;86.0116x;18166.4x
1572x;-266.231x;85.9288x;18164.2x
1573x;-266.231x;85.8462x;18162.1x
1574x;-266.231x;85.7635x;18160x
1575x;-266.231x;85.6809x;18157.9x
1576x;-266.231x;85.5984x;18155.8x
1577x;-266.231x;85.5159x;18153.7x
1578x;-266.231x;85.4335x;18151.5x
1579x;-266.231x;85.351x;18149.4x
1580x;-266.231x;85.2687x;18147.3x
1581x;-266.231x;85.1864x;18145.2x
1582x;-266.231x;85.1041x;18143x
1583x;-266.231x;85.0219x;18140.9x
1584x;-266.231x;84.9397x;18138.8x
1585x;-266.231x;84.8575x;18136.6x
1586x;-266.231x;84.7754x;18134.5x
1587x;-266.231x;84.6934x;18132.4x
1588x;-266.231x;84.6114x;18130.2x
1589x;-266.231x;84.5294x;18128.1x
1590x;-266.231x;84.4475x;18125.9x
1591x;-266.231x;84.3656x;18123.8x
1592x;-266.231x;84.2838x;18121.7x
1593x;-266.231x;84.202x;18119.5x
1594x;-266.231x;84.1203x;18117.4x
1595x;-266.231x;84.0386x;18115.2x
1596x;-266.231x;83.9569x;18113x
1597x;-266.231x;83.8753x;18110.9x
1598x;-266.231x;83.7938x;18108.7x
1599x;-266.231x;83.7123x;18106.6x
1600x;-266.231x;83.6308x;18104.4x
1601x;-266.231x;83.5494x;18102.3x
1602x;-266.231x;83.468x;18100.1x
1603x;-266.231x;83.3866x;18097.9x
1604x;-266.231x;83.3053x;18095.8x
1605x;-266.231x;83.2241x;18093.6x
1606x;-266.231x;83.1429x;18091.4x
1607x;-266.231x;83.0617x;18089.2x
1608x;-266.231x;82.9806x;18087.1x
1609x;-266.231x;82.8995x;18084.9x
1610x;-266.231x;82.8185x;18082.7x
1611x;-266.231x;82.7375x;18080.5x
1612x;-266.231x;82.6566x;18078.3x
1613x;-266.231x;82.5757x;18076.1x
1614x;-266.231x;82.4948x;18074x
1615x;-266.231x;82.414x;18071.8x
1616x;-266.231x;82.3333x;18069.6x
1617x;-266.231x;82.2526x;18067.4x
1618x;-266.231x;82.1719x;18065.2x
1619x;-266.231x;82.0913x;18063x
1620x;-266.231x;82.0107x;18060.8x
1621x;-266.231x;81.9301x;18058.6x
1622x;-266.231x;81.8497x;18056.4x
1623x;-266.231x;81.7692x;18054.2x
1624x;-266.231x;81.6888x;18052x
1625x;-266.231x;81.6084x;18049.8x
1626x;-266.231x;81.5281x;18047.6x
1627x;-266.231x;81.4479x;18045.3x
1628x;-266.231x;81.3676x;18043.1x
1629x;-266.231x;81.2875x;18040.9x
1630x;-266.231x;81.2073x;18038.7x
1631x;-266.231x;81.1272x;18036.5x
1632x;-266.231x;81.0472x;18034.3x
1633x;-266.231x;80.9672x;18032x
1634x;-266.231x;80.8872x;18029.8x
1635x;-266.231x;80.8073x;18027.6x
1636x;-266.231x;80.7274x;18025.4x
1637x;-266.231x;80.6476x;18023.1x
1638x;-266.231x;80.5678x;18020.9x
1639x;-266.231x;80.4881x;18018.7x
1640x;-266.231x;80.4084x;18016.4x
1641x;-266.231x;80.3287x;18014.2x
1642x;-266.231x;80.2491x;18011.9x
1643x;-266.231x;80.1696x;18009.7x
1644x;-266.231x;80.0901x;18007.4x
1645x;-266.231x;80.0106x;18005.2x
1646x;-266.231x;79.9312x;18003x
1647x;-266.231x;79.8518x;18000.7x
1648x;-266.231x;79.7724x;17998.4x
1649x;-266.231x;79.6931x;17996.2x
1650x;-266.231x;79.6139x;17993.9x
1651x;-266.231x;79.5347x;17991.7x
1652x;-266.231x;79.4555x;17989.4x
1653x;-266.231x;79.3764x;17987.2x
1654x;-266.231x;79.2973x;17984.9x
1655x;-266.231x;79.2183x;17982.6x
1656x;-266.231x;79.1393x;17980.4x
1657x;-266.231x;79.0604x;17978.1x
1658x;-266.231x;78.9815x;17975.8x
1659x;-266.231x;78.9027x;17973.5x
1660x;-266.231x;78.8239x;17971.3x
1661x;-266.231x;78.7451x;17969x
1662x;-266.231x;78.6664x;17966.7x
1663x;-266.231x;78.5877x;17964.4x
1664x;-266.231x;78.5091x;17962.1x
1665x;-266.231x;78.4305x;17959.9x
1666x;-266.231x;78.352x;17957.6x
1667x;-266.231x;78.2735x;17955.3x
1668x;-266.231x;78.195x;17953x
1669x;-266.231x;78.1166x;17950.7x
1670x;-266.231x;78.0382x;17948.4x
1671x;-266.231x;77.9599x;17946.1x
1672x;-266.231x;77.8817x;17943.8x
1673x;-266.231x;77.8034x;17941.5x
1674x;-266.231x;77.7252x;17939.2x
1675x;-266.231x;77.6471x;17936.9x
1676x;-266.231x;77.569x;17934.6x
1677x;-266.231x;77.491x;17932.3x
1678x;-266.231x;77.413x;17929.9x
1679x;-266.231x;77.335x;17927.6x
1680x;-266.231x;77.2571x;17925.3x
1681x;-266.231x;77.1792x;17923x
1682x;-266.231x;77.1014x;17920.7x
1683x;-266.231x;77.0236x;17918.4x
1684x;-266.231x;76.9458x;17916x
1685x;-266.231x;76.8681x;17913.7x
1686x;-266.231x;76.7905x;17911.4x
1687x;-266.231x;76.7129x;17909x
1688x;-266.231x;76.6353x;17906.7x
1689x;-266.231x;76.5578x;17904.4x
1690x;-266.231x;76.4803x;17902x
1691x;-266.231x;76.4029x;17899.7x
1692x;-266.231x;76.3255x;17897.4x
1693x;-266.231x;76.2482x;17895x
1694x;-266.231x;76.1709x;17892.7x
1695x;-266.231x;76.0936x;17890.3x
1696x;-266.231x;76.0164x;17888x
1697x;-266.231x;75.9392x;17885.6x
1698x;-266.231x;75.8621x;17883.3x
1699x;-266.231x;75.785x;17880.9x
1700x;-266.231x;75.708x;17878.6x
1701x;-266.231x;75.631x;17876.2x
1702x;-266.231x;75.5541x;17873.8x
1703x;-266.231x;75.4772x;17871.5x
1704x;-266.231x;75.4003x;17869.1x
1705x;-266.231x;75.3235x;17866.7x
1706x;-266.231x;75.2467x;17864.4x
1707x;-266.231x;75.17x;17862x
1708x;-266.231x;75.0933x;17859.6x
1709x;-266.231x;75.0167x;17857.2x
1710x;-266.231x;74.9401x;17854.9x
1711x;-266.231x;74.8636x;17852.5x
1712x;-266.231x;74.7871x;17850.1x
1713x;-266.231x;74.7106x;17847.7x
1714x;-266.231x;74.6342x;17845.3x
1715x;-266.231x;74.5578x;17842.9x
1716x;-266.231x;74.4815x;17840.5x
1717x;-266.231x;74.4052x;17838.1x
1718x;-266.231x;74.329x;17835.8x
1719x;-266.231x;74.2528x;17833.4x
1720x;-266.231x;74.1767x;17831x
1721x;-266.231x;74.1005x;17828.6x
1722x;-266.231x;74.0245x;17826.1x
1723x;-266.231x;73.9485x;17823.7x
1724x;-266.231x;73.8725x;17821.3x
1725x;-266.231x;73.7966x;17818.9x
1726x;-266.231x;73.7207x;17816.5x
1727x;-266.231x;73.6449x;17814.1x
1728x;-266.231x;73.5691x;17811.7x
1729x;-266.231x;73.4933x;17809.3x
1730x;-266.231x;73.4176x;17806.8x
1731x;-266.231x;73.3419x;17804.4x
1732x;-266.231x;73.2663x;17802x
1733x;-266.231x;73.1908x;17799.6x
1734x;-266.231x;73.1152x;17797.1x
1735x;-266.231x;73.0397x;17794.7x
1736x;-266.231x;72.9643x;17792.3x
1737x;-266.231x;72.8889x;17789.8x
1738x;-266.231x;72.8135x;17787.4x
1739x;-266.231x;72.7382x;17784.9x
1740x;-266.231x;72.663x;17782.5x
1741x;-266.231x;72.5878x;17780.1x
1742x;-266.231x;72.5126x;17777.6x
1743x;-266.231x;72.4374x;17775.2x
1744x;-266.231x;72.3624x;17772.7x
1745x;-266.231x;72.2873x;17770.2x
1746x;-266.231x;72.2123x;17767.8x
1747x;-266.231x;72.1374x;17765.3x
1748x;-266.231x;72.0624x;17762.9x
1749x;-266.231x;71.9876x;17760.4x
1750x;-266.231x;71.9128x;17757.9x
1751x;-266.231x;71.838x;17755.5x
1752x;-266.231x;71.7632x;17753x
1753x;-266.231x;71.6885x;17750.5x
1754x;-266.231x;71.6139x;17748.1x
1755x;-266.231x;71.5393x;17745.6x
1756x;-266.231x;71.4647x;17743.1x
1757x;-266.231x;71.3902x;17740.6x
1758x;-266.231x;71.3158x;17738.1x
1759x;-266.231x;71.2413x;17735.7x
1760x;-266.231x;71.1669x;17733.2x
1761x;-266.231x;71.0926x;17730.7x
1762x;-266.231x;71.0183x;17728.2x
1763x;-266.231x;70.9441x;17725.7x
1764x;-266.231x;70.8699x;17723.2x
1765x;-266.231x;70.7957x;17720.7x
1766x;-266.231x;70.7216x;17718.2x
1767x;-266.231x;70.6475x;17715.7x
1768x;-266.231x;70.5735x;17713.2x
1769x;-266.231x;70.4995x;17710.7x
1770x;-266.231x;70.4255x;17708.2x
1771x;-266.231x;70.3516x;17705.6x
1772x;-266.231x;70.2778x;17703.1x
1773x;-266.231x;70.204x;17700.6x
1774x;-266.231x;70.1302x;17698.1x
1775x;-266.231x;70.0565x;17695.6x
1776x;-266.231x;69.9828x;17693.1x
1777x;-266.231x;69.9092x;17690.5x
1778x;-266.231x;69.8356x;17688x
1779x;-266.231x;69.762x;17685.5x
1780x;-266.231x;69.6885x;17682.9x
1781x;-266.231x;69.6151x;17680.4x
1782x;-266.231x;69.5417x;17677.9x
1783x;-266.231x;69.4683x;17675.3x
1784x;-266.231x;69.395x;17672.8x
1785x;-266.231x;69.3217x;17670.2x
1786x;-266.231x;69.2485x;17667.7x
1787x;-266.231x;69.1753x;17665.1x
1788x;-266.231x;69.1021x;17662.6x
1789x;-266.231x;69.029x;17660x
1790x;-266.231x;68.956x;17657.5x
1791x;-266.231x;68.8829x;17654.9x
1792x;-266.231x;68.81x;17652.3x
1793x;-266.231x;68.737x;17649.8x
1794x;-266.231x;68.6641x;17647.2x
1795x;-266.231x;68.5913x;17644.7x
1796x;-266.231x;68.5185x;17642.1x
1797x;-266.231x;68.4458x;17639.5x
1798x;-266.231x;68.373x;17636.9x
1799x;-266.231x;68.3004x;17634.4x
1800x;-266.231x;68.2278x;17631.8x
1801x;-266.231x;68.1552x;17629.2x
1802x;-266.231x;68.0826x;17626.6x
1803x;-266.231x;68.0102x;17624x
1804x;-266.231x;67.9377x;17621.4x
1805x;-266.231x;67.8653x;17618.8x
1806x;-266.231x;67.7929x;17616.2x
1807x;-266.231x;67.7206x;17613.6x
1808x;-266.231x;67.6484x;17611x
1809x;-266.231x;67.5761x;17608.4x
1810x;-266.231x;67.504x;17605.8x
1811x;-266.231x;67.4318x;17603.2x
1812x;-266.231x;67.3597x;17600.6x
1813x;-266.231x;67.2877x;17598x
1814x;-266.231x;67.2157x;17595.4x
1815x;-266.231x;67.1437x;17592.8x
1816x;-266.231x;67.0718x;17590.2x
1817x;-266.231x;66.9999x;17587.5x
1818x;-266.231x;66.9281x;17584.9x
1819x;-266.231x;66.8563x;17582.3x
1820x;-266.231x;66.7845x;17579.7x
1821x;-266.231x;66.7128x;17577x
1822x;-266.231x;66.6412x;17574.4x
1823x;-266.231x;66.5696x;17571.8x
1824x;-266.231x;66.498x;17569.1x
1825x;-266.231x;66.4265x;17566.5x
1826x;-266.231x;66.355x;17563.9x
1827x;-266.231x;66.2836x;17561.2x
1828x;-266.231x;66.2122x;17558.6x
1829x;-266.231x;66.1408x;17555.9x
1830x;-266.231x;66.0695x;17553.3x
1831x;-266.231x;65.9983x;17550.6x
1832x;-266.231x;65.927x;17547.9x
1833x;-266.231x;65.8559x;17545.3x
1834x;-266.231x;65.7847x;17542.6x
1835x;-266.231x;65.7136x;17540x
1836x;-266.231x;65.6426x;17537.3x
1837x;-266.231x;65.5716x;17534.6x
1838x;-266.231x;65.5007x;17531.9x
1839x;-266.231x;65.4297x;17529.3x
1840x;-266.231x;65.3589x;17526.6x
1841x;-266.231x;65.2881x;17523.9x
1842x;-266.231x;65.2173x;17521.2x
1843x;-266.231x;65.1465x;17518.5x
1844x;-266.231x;65.0758x;17515.9x
1845x;-266.231x;65.0052x;17513.2x
1846x;-266.231x;64.9346x;17510.5x
1847x;-266.231x;64.864x;17507.8x
1848x;-266.231x;64.7935x;17505.1x
1849x;-266.231x;64.723x;17502.4x
1850x;-266.231x;64.6526x;17499.7x
1851x;-266.231x;64.5822x;17497x
1852x;-266.231x;64.5119x;17494.3x
1853x;-266.231x;64.4416x;17491.6x
1854x;-266.231x;64.3713x;17488.8x
1855x;-266.231x;64.3011x;17486.1x
1856x;-266.231x;64.231x;17483.4x
1857x;-266.231x;64.1608x;17480.7x
1858x;-266.231x;64.0908x;17478x
1859x;-266.231x;64.0207x;17475.2x
1860x;-266.231x;63.9507x;17472.5x
1861x;-266.231x;63.8808x;17469.8x
1862x;-266.231x;63.8109x;17467.1x
1863x;-266.231x;63.741x;17464.3x
1864x;-266.231x;63.6712x;17461.6x
1865x;-266.231x;63.6014x;17458.8x
1866x;-266.231x;63.5317x;17456.1x
1867x;-266.231x;63.462x;17453.4x
1868x;-266.231x;63.3924x;17450.6x
1869x;-266.231x;63.3228x;17447.9x
1870x;-266.231x;63.2532x;17445.1x
1871x;-266.231x;63.1837x;17442.3x
1872x;-266.231x;63.1143x;17439.6x
1873x;-266.231x;63.0448x;17436.8x
1874x;-266.231x;62.9755x;17434.1x
1875x;-266.231x;62.9061x;17431.3x
1876x;-266.231x;62.8368x;17428.5x
1877x;-266.231x;62.7676x;17425.8x
1878x;-266.231x;62.6984x;17423x
1879x;-266.231x;62.6292x;17420.2x
1880x;-266.231x;62.5601x;17417.4x
1881x;-266.231x;62.491x;17414.6x
1882x;-266.231x;62.422x;17411.9x
1883x;-266.231x;62.353x;17409.1x
1884x;-266.231x;62.2841x;17406.3x
1885x;-266.231x;62.2152x;17403.5x
1886x;-266.231x;62.1463x;17400.7x
1887x;-266.231x;62.0775x;17397.9x
1888x;-266.231x;62.0087x;17395.1x
1889x;-266.231x;61.94x;17392.3x
1890x;-266.231x;61.8713x;17389.5x
1891x;-266.231x;61.8027x;17386.7x
1892x;-266.231x;61.7341x;17383.9x
1893x;-266.231x;61.6656x;17381x
1894x;-266.231x;61.5971x;17378.2x
1895x;-266.231x;61.5286x;17375.4x
1896x;-266.231x;61.4602x;17372.6x
1897x;-266.231x;61.3918x;17369.8x
1898x;-266.231x;61.3235x;17366.9x
1899x;-266.231x;61.2552x;17364.1x
1900x;-266.231x;61.1869x;17361.3x
1901x;-266.231x;61.1187x;17358.4x
1902x;-266.231x;61.0506x;17355.6x
1903x;-266.231x;60.9825x;17352.8x
1904x;-266.231x;60.9144x;17349.9x
1905x;-266.231x;60.8464x;17347.1x
1906x;-266.231x;60.7784x;17344.2x
1907x;-266.231x;60.7105x;17341.4x
1908x;-266.231x;60.6426x;17338.5x
1909x;-266.231x;60.5747x;17335.7x
1910x;-266.231x;60.5069x;17332.8x
1911x;-266.231x;60.4391x;17329.9x
1912x;-266.231x;60.3714x;17327.1x
1913x;-266.231x;60.3037x;17324.2x
1914x;-266.231x;60.2361x;17321.3x
1915x;-266.231x;60.1685x;17318.5x
1916x;-266.231x;60.101x;17315.6x
1917x;-266.231x;60.0335x;17312.7x
1918x;-266.231x;59.966x;17309.8x
1919x;-266.231x;59.8986x;17306.9x
1920x;-266.231x;59.8312x;17304x
1921x;-266.231x;59.7639x;17301.2x
1922x;-266.231x;59.6966x;17298.3x
1923x;-266.231x;59.6294x;17295.4x
1924x;-266.231x;59.5622x;17292.5x
1925x;-266.231x;59.495x;17289.6x
1926x;-266.231x;59.4279x;17286.7x
1927x;-266.231x;59.3608x;17283.8x
1928x;-266.231x;59.2938x;17280.8x
1929x;-266.231x;59.2268x;17277.9x
1930x;-266.231x;59.1599x;17275x
1931x;-266.231x;59.093x;17272.1x
1932x;-266.231x;59.0261x;17269.2x
1933x;-266.231x;58.9593x;17266.3x
1934x;-266.231x;58.8926x;17263.3x
1935x;-266.231x;58.8259x;17260.4x
1936x;-266.231x;58.7592x;17257.5x
1937x;-266.231x;58.6925x;17254.5x
1938x;-266.231x;58.626x;17251.6x
1939x;-266.231x;58.5594x;17248.7x
1940x;-266.231x;58.4929x;17245.7x
1941x;-266.231x;58.4264x;17242.8x
1942x;-266.231x;58.36x;17239.8x
1943x;-266.231x;58.2937x;17236.9x
1944x;-266.231x;58.2273x;17233.9x
1945x;-266.231x;58.161x;17231x
1946x;-266.231x;58.0948x;17228x
1947x;-266.231x;58.0286x;17225x
1948x;-266.231x;57.9624x;17222.1x
1949x;-266.231x;57.8963x;17219.1x
1950x;-266.231x;57.8303x;17216.1x
1951x;-266.231x;57.7642x;17213.1x
1952x;-266.231x;57.6983x;17210.2x
1953x;-266.231x;57.6323x;17207.2x
1954x;-266.231x;57.5664x;17204.2x
1955x;-266.231x;57.5006x;17201.2x
1956x;-266.231x;57.4348x;17198.2x
1957x;-266.231x;57.369x;17195.2x
1958x;-266.231x;57.3033x;17192.2x
1959x;-266.231x;57.2376x;17189.2x
1960x;-266.231x;57.172x;17186.2x
1961x;-266.231x;57.1064x;17183.2x
1962x;-266.231x;57.0408x;17180.2x
1963x;-266.231x;56.9753x;17177.2x
1964x;-266.231x;56.9099x;17174.2x
1965x;-266.231x;56.8445x;17171.2x
1966x;-266.231x;56.7791x;17168.2x
1967x;-266.231x;56.7138x;17165.2x
1968x;-266.231x;56.6485x;17162.1x
1969x;-266.231x;56.5832x;17159.1x
1970x;-266.231x;56.518x;17156.1x
1971x;-266.231x;56.4529x;17153x
1972x;-266.231x;56.3878x;17150x
1973x;-266.231x;56.3227x;17147x
1974x;-266.231x;56.2577x;17143.9x
1975x;-266.231x;56.1927x;17140.9x
1976x;-266.231x;56.1277x;17137.8x
1977x;-266.231x;56.0628x;17134.8x
1978x;-266.231x;55.998x;17131.7x
1979x;-266.231x;55.9332x;17128.7x
1980x;-266.231x;55.8684x;17125.6x
1981x;-266.231x;55.8037x;17122.5x
1982x;-266.231x;55.739x;17119.5x
1983x;-266.231x;55.6744x;17116.4x
1984x;-266.231x;55.6098x;17113.3x
1985x;-266.231x;55.5452x;17110.3x
1986x;-266.231x;55.4807x;17107.2x
1987x;-266.231x;55.4163x;17104.1x
1988x;-266.231x;55.3518x;17101x
1989x;-266.231x;55.2875x;17097.9x
1990x;-266.231x;55.2231x;17094.8x
1991x;-266.231x;55.1588x;17091.7x
1992x;-266.231x;55.0946x;17088.6x
1993x;-266.231x;55.0304x;17085.5x
1994x;-266.231x;54.9662x;17082.4x
1995x;-266.231x;54.9021x;17079.3x
1996x;-266.231x;54.838x;17076.2x
1997x;-266.231x;54.774x;17073.1x
1998x;-266.231x;54.71x;17070x
1999x;-266.231x;54.6461x;17066.9x
2000x;-266.231x;54.5822x;17063.8x
